degree_name,degree_employ_value,group
인도어학과  ,65.95,인문계열
인류학과  ,60.4,인문계열
인문학부  ,74.65,인문계열
인쇄과  ,72.5,자연계열
인쇄정보공학과  ,70.8,자연계열
인터넷방송과  ,61.75,공학계열
인터넷정보과  ,68.15,공학계열
인터넷정보학과  ,70.95,교육계열
일반사회교육과  ,35.35,인문계열
일본어과  ,48.15,인문계열
일본학과  ,53.25,교육계열
일어교육과  ,36.45,인문계열
일어일문학과  ,53.25,자연계열
임산공학과  ,58.6,의약계열
임상병리과  ,75.35,의약계열
임상병리학과  ,75.55,의약계열
임학과  ,58.6,자연계열
자동차공학과  ,66.15,공학계열
자동차과  ,68.85,공학계열
자동차정비과  ,68.85,공학계열
자원동물산업과  ,54.45,자연계열
자율전공학부  ,54.65,인문계열
작곡과  ,48.55,예체능계열
작업치료과  ,83,의약계열
작업치료학과  ,80.15,의약계열
장례지도과  ,67.05,사회계열
재료공학과  ,67.85,공학계열
재료과  ,88.45,공학계열
재활학과  ,80.15,의약계열
전기공학과  ,69.05,공학계열
전기공학교육과  ,52.85,교육계열
전기과  ,75.75,공학계열
전기전자공학과  ,72.55,공학계열
전기전자과  ,72.15,공학계열
전기제어공학과  ,73,공학계열
전산과  ,64.55,공학계열
전자공학과  ,72.55,공학계열
전자과  ,72.15,공학계열
전자상거래학과  ,66.35,사회계열
전통약재개발과  ,54.45,의약계열
전통의상과  ,61.55,예체능계열
전통조리과  ,62.65,자연계열
전파공학과  ,70.95,공학계열
정밀화학과  ,59.3,자연계열
정보보호학과  ,64.25,공학계열
정보통신공학과  ,70.95,공학계열
정보통신과  ,68.15,공학계열
정치외교학과  ,60.7,사회계열
제과제빵과  ,62.65,자연계열
제약공학과  ,54.6,자연계열
제어계측공학과  ,73,공학계열
제어계측과  ,72.95,공학계열
제어로봇학과  ,73.75,공학계열
제지공학과  ,70.8,공학계열
제철금속과  ,72.65,공학계열
제품디자인과  ,66.9,예체능계열
조경과  ,71.55,공학계열
조경학과  ,61.8,공학계열
조리과학과  ,67.15,자연계열
조선공학과  ,78.85,공학계열
조선과  ,71.05,공학계열
조소학과  ,60.3,예체능계열
조형디자인학과  ,67.2,예체능계열
종교교육과  ,36.3,교육계열
종교학과  ,60.35,인문계열
중국비즈니스과  ,65.8,사회계열
중국어과  ,57.25,인문계열
중국학과  ,61.1,인문계열
중어중문학과  ,61.1,인문계열
증권금융과  ,63.85,사회계열
지구과학교육과  ,38.35,교육계열
지구물리학과  ,61.7,자연계열
지구정보공학과  ,59.7,자연계열
지구해양과학과  ,59.7,자연계열
지리교육과  ,35.35,교육계열
지리학과  ,59.7,자연계열
지방행정과  ,65.2,사회계열
지역개발학과  ,62.05,사회계열
지역학과  ,62.05,자연계열
지적과  ,57.1,자연계열
지적학과  ,59.7,자연계열
지질학과  ,59.7,자연계열
지형정보과  ,57.1,자연계열
창업경영과  ,65.8,사회계열
천문학과  ,55.95,자연계열
철도경영과  ,65.8,사회계열
철도시설토목과  ,72.65,공학계열
철도운수경영과  ,65.8,공학계열
철도운전기전과  ,65.9,공학계열
철도전기제어과  ,72.95,공학계열
철도차량기계과  ,71.4,공학계열
철학과  ,51.35,인문계열
청소년문화과  ,45.15,사회계열
청소년지도학과  ,61.55,사회계열
체육교육과  ,50.15,교육계열
체육학과  ,66.05,예체능계열
초등교육과  ,77.3,교육계열
축산과  ,77.35,자연계열
축산학과  ,66.95,자연계열
출판미디어과  ,72.5,예체능계열
측지정보과  ,72.65,공학계열
치기공과  ,66.75,의약계열
치기공학과  ,71.45,의약계열
치위생과  ,75.35,의약계열
치위생학과  ,91.75,의약계열
치의예과  ,91.75,의약계열
커뮤니케이션디자인학과  ,67.2,예체능계열
컨벤션산업과  ,65.8,사회계열
컬러리스트과  ,63.55,예체능계열
컴퓨터게임과  ,62.1,예체능계열
컴퓨터공학과  ,70.6,공학계열
컴퓨터과학과  ,70.6,공학계열
컴퓨터교육과  ,52.85,교육계열
컴퓨터그래픽과  ,62.6,예체능계열
컴퓨터디자인학과  ,67.2,예체능계열
컴퓨터보안과  ,68.15,공학계열
컴퓨터소프트웨어과  ,62.1,공학계열
컴퓨터응용설계과  ,64.55,공학계열
컴퓨터응용제어과  ,72.95,공학계열
컴퓨터전기자동화과  ,75.75,공학계열
컴퓨터정보과  ,68.15,공학계열
코디네이션과  ,63.55,예체능계열
코미디연기학과  ,63.9,예체능계열
태국어학과  ,65.95,인문계열
태권도과  ,60.85,예체능계열
터키어학과  ,57.95,인문계열
토목공학과  ,63.4,공학계열
토목과  ,72.65,공학계열
통계학과  ,67.5,자연계열
통번역학과  ,60.05,인문계열
특수교육학과  ,59.45,교육계열
특수장비과  ,72.5,공학계열
판화과  ,60.3,예체능계열
패션디자인과  ,65.5,예체능계열
패션악세사리디자인과  ,66.9,예체능계열
포르투갈어학과  ,57.95,인문계열
폴란드어학과  ,57.95,인문계열
표면처리과  ,72.65,공학계열
푸드스타일리스트과  ,63.55,자연계열
품질관리과  ,65.8,사회계열
프랑스학과  ,64.25,인문계열
피부미용과  ,63.55,예체능계열
피아노학과  ,42.75,예체능계열
한국어과  ,69.8,인문계열
한국어학과  ,54.4,인문계열
한국음악과  ,53.45,예체능계열
한문교육과  ,36.45,교육계열
한문학과  ,61.1,인문계열
한방학과  ,62.9,자연계열
한약학과  ,88.5,의약계열
한의예과  ,89.6,의약계열
항공보안과  ,70.95,공학계열
항공서비스과  ,66.15,사회계열
항공서비스학과  ,67.1,사회계열
항공우주공학과  ,71.45,공학계열
항공운항과  ,66.15,사회계열
항공운항학과  ,71.45,공학계열
항공정비과  ,70.95,공학계열
항해학과  ,78.85,공학계열
해양경찰과  ,65.2,사회계열
해양경찰학과  ,54.3,사회계열
해양공학과  ,78.85,공학계열
해양생명과학과  ,54.6,자연계열
해양스포츠학과  ,66.05,예체능계열
해양시스템학과  ,78.85,공학계열
해양자원학과  ,62.9,자연계열
행정과  ,65.2,사회계열
행정학과  ,54.3,사회계열
헝가리어학과  ,57.95,인문계열
호텔경영과  ,65.8,사회계열
호텔외식경영과  ,65.8,사회계열
호텔조리과  ,62.65,자연계열
화장품과  ,72.5,공학계열
화장품과학과  ,70.8,공학계열
화학공업과  ,70.75,공학계열
화학공학과  ,68.65,공학계열
화학과  ,59.3,자연계열
화학교육과  ,38.35,교육계열
환경공업과  ,69.15,자연계열
환경공학과  ,61.45,자연계열
환경과학과  ,61.45,자연계열
환경관리과  ,65.8,자연계열
환경교육과  ,38.35,교육계열
환경디자인과  ,66.9,예체능계열
환경디자인학과  ,67.2,예체능계열
환경보건학과  ,75.55,의약계열
환경조각학과  ,60.3,예체능계열
환경화학과  ,69.15,공학계열
회계학과  ,63.85,사회계열
회화학과  ,59.55,예체능계열
e-비즈니스과  ,65.8,사회계열
e-비즈니스학과  ,66.35,사회계열
